"month","day","year","deaths","date"
"493",5,7,2016,71,2016-05-07
"494",5,8,2016,79,2016-05-08
"495",5,9,2016,80,2016-05-09
"496",5,10,2016,81,2016-05-10
"497",5,11,2016,68,2016-05-11
"498",5,12,2016,85,2016-05-12
"499",5,13,2016,69,2016-05-13
"500",5,14,2016,62,2016-05-14
"501",5,15,2016,76,2016-05-15
"502",5,16,2016,67,2016-05-16
"503",5,17,2016,67,2016-05-17
"504",5,18,2016,83,2016-05-18
"505",5,19,2016,72,2016-05-19
"506",5,20,2016,89,2016-05-20
"507",5,21,2016,78,2016-05-21
"508",5,22,2016,81,2016-05-22
"509",5,23,2016,87,2016-05-23
"510",5,24,2016,85,2016-05-24
"511",5,25,2016,82,2016-05-25
"512",5,26,2016,67,2016-05-26
"513",5,27,2016,80,2016-05-27
"514",5,28,2016,69,2016-05-28
"515",5,29,2016,77,2016-05-29
"516",5,30,2016,69,2016-05-30
"517",5,31,2016,76,2016-05-31
"518",6,1,2016,74,2016-06-01
"519",6,2,2016,71,2016-06-02
"520",6,3,2016,70,2016-06-03
"521",6,4,2016,102,2016-06-04
"522",6,5,2016,80,2016-06-05
"523",6,6,2016,84,2016-06-06
"524",6,7,2016,74,2016-06-07
"525",6,8,2016,77,2016-06-08
"526",6,9,2016,76,2016-06-09
"527",6,10,2016,77,2016-06-10
"528",6,11,2016,97,2016-06-11
"529",6,12,2016,70,2016-06-12
"530",6,13,2016,81,2016-06-13
"531",6,14,2016,90,2016-06-14
"532",6,15,2016,66,2016-06-15
"533",6,16,2016,93,2016-06-16
"534",6,17,2016,68,2016-06-17
"535",6,18,2016,90,2016-06-18
"536",6,19,2016,77,2016-06-19
"537",6,20,2016,83,2016-06-20
"538",6,21,2016,70,2016-06-21
"539",6,22,2016,76,2016-06-22
"540",6,23,2016,67,2016-06-23
"541",6,24,2016,77,2016-06-24
"542",6,25,2016,77,2016-06-25
"543",6,26,2016,71,2016-06-26
"544",6,27,2016,85,2016-06-27
"545",6,28,2016,82,2016-06-28
"546",6,29,2016,77,2016-06-29
"547",6,30,2016,73,2016-06-30
"548",7,1,2016,84,2016-07-01
"549",7,2,2016,75,2016-07-02
"550",7,3,2016,69,2016-07-03
"551",7,4,2016,102,2016-07-04
"552",7,5,2016,82,2016-07-05
"553",7,6,2016,103,2016-07-06
"554",7,7,2016,82,2016-07-07
"555",7,8,2016,72,2016-07-08
"556",7,9,2016,74,2016-07-09
"557",7,10,2016,77,2016-07-10
"558",7,11,2016,89,2016-07-11
"559",7,12,2016,71,2016-07-12
"560",7,13,2016,82,2016-07-13
"561",7,14,2016,84,2016-07-14
"562",7,15,2016,62,2016-07-15
"563",7,16,2016,83,2016-07-16
"564",7,17,2016,77,2016-07-17
"565",7,18,2016,84,2016-07-18
"566",7,19,2016,67,2016-07-19
"567",7,20,2016,95,2016-07-20
"568",7,21,2016,71,2016-07-21
"569",7,22,2016,58,2016-07-22
"570",7,23,2016,70,2016-07-23
"571",7,24,2016,83,2016-07-24
"572",7,25,2016,90,2016-07-25
"573",7,26,2016,91,2016-07-26
"574",7,27,2016,77,2016-07-27
"575",7,28,2016,82,2016-07-28
"576",7,29,2016,69,2016-07-29
"577",7,30,2016,70,2016-07-30
"578",7,31,2016,81,2016-07-31
"579",8,1,2016,65,2016-08-01
"580",8,2,2016,79,2016-08-02
"581",8,3,2016,78,2016-08-03
"582",8,4,2016,78,2016-08-04
"583",8,5,2016,54,2016-08-05
"584",8,6,2016,62,2016-08-06
"585",8,7,2016,78,2016-08-07
"586",8,8,2016,78,2016-08-08
"587",8,9,2016,75,2016-08-09
"588",8,10,2016,62,2016-08-10
"589",8,11,2016,76,2016-08-11
"590",8,12,2016,89,2016-08-12
"591",8,13,2016,77,2016-08-13
"592",8,14,2016,80,2016-08-14
"593",8,15,2016,69,2016-08-15
"594",8,16,2016,73,2016-08-16
"595",8,17,2016,72,2016-08-17
"596",8,18,2016,79,2016-08-18
"597",8,19,2016,76,2016-08-19
"598",8,20,2016,76,2016-08-20
"599",8,21,2016,73,2016-08-21
"600",8,22,2016,87,2016-08-22
"601",8,23,2016,68,2016-08-23
"602",8,24,2016,64,2016-08-24
"603",8,25,2016,82,2016-08-25
"604",8,26,2016,72,2016-08-26
"605",8,27,2016,73,2016-08-27
"606",8,28,2016,67,2016-08-28
"607",8,29,2016,76,2016-08-29
"608",8,30,2016,69,2016-08-30
"609",8,31,2016,65,2016-08-31
"610",9,1,2016,75,2016-09-01
"611",9,2,2016,67,2016-09-02
"612",9,3,2016,78,2016-09-03
"613",9,4,2016,99,2016-09-04
"614",9,5,2016,89,2016-09-05
"615",9,6,2016,74,2016-09-06
"616",9,7,2016,67,2016-09-07
"617",9,8,2016,77,2016-09-08
"618",9,9,2016,90,2016-09-09
"619",9,10,2016,73,2016-09-10
"620",9,11,2016,78,2016-09-11
"621",9,12,2016,66,2016-09-12
"622",9,13,2016,88,2016-09-13
"623",9,14,2016,81,2016-09-14
"624",9,15,2016,91,2016-09-15
"625",9,16,2016,71,2016-09-16
"626",9,17,2016,68,2016-09-17
"627",9,18,2016,79,2016-09-18
"628",9,19,2016,82,2016-09-19
"629",9,20,2016,79,2016-09-20
"630",9,21,2016,67,2016-09-21
"631",9,22,2016,97,2016-09-22
"632",9,23,2016,71,2016-09-23
"633",9,24,2016,79,2016-09-24
"634",9,25,2016,75,2016-09-25
"635",9,26,2016,82,2016-09-26
"636",9,27,2016,82,2016-09-27
"637",9,28,2016,81,2016-09-28
"638",9,29,2016,70,2016-09-29
"639",9,30,2016,91,2016-09-30
"640",10,1,2016,90,2016-10-01
"641",10,2,2016,67,2016-10-02
"642",10,3,2016,82,2016-10-03
"643",10,4,2016,78,2016-10-04
"644",10,5,2016,82,2016-10-05
"645",10,6,2016,78,2016-10-06
"646",10,7,2016,85,2016-10-07
"647",10,8,2016,77,2016-10-08
"648",10,9,2016,76,2016-10-09
"649",10,10,2016,86,2016-10-10
"650",10,11,2016,77,2016-10-11
"651",10,12,2016,79,2016-10-12
"652",10,13,2016,70,2016-10-13
"653",10,14,2016,73,2016-10-14
"654",10,15,2016,78,2016-10-15
"655",10,16,2016,77,2016-10-16
"656",10,17,2016,75,2016-10-17
"657",10,18,2016,68,2016-10-18
